player_id,player_name,position,career_faceoff_pct,season_faceoff_pct,games_played,handedness
,Cole Perfetti,C,,31.3,82.0,
,Brayden Schenn,C,,52.3,82.0,
,Jamie Benn,LW,,56.0,80.0,
,Ryan Nugent-Hopkins,C,,48.5,78.0,
,Jaden Schwartz,C,,50.0,81.0,
,Jake DeBrusk,LW,,37.9,82.0,
,Kyle Palmieri,RW,,39.4,82.0,
,Andrei Svechnikov,RW,,25.0,72.0,
,Jakob Chychrun,D,,,74.0,
,Matthew Coronato,RW,,42.8,77.0,
,Elias Lindholm,C,,55.2,82.0,
,Mason Marchment,F,,48.0,62.0,
,Dmitri Voronkov,LW,,41.6,73.0,
,MacKenzie Weegar,D,,0.0,81.0,
,Pavel Zacha,C,,53.2,82.0,
,Dylan Cozens,C,,50.6,82.0,
,Dylan Cozens,C,,50.6,61.0,
,Dylan Cozens,C,,50.8,21.0,
,Tyler Bertuzzi,LW,,46.8,82.0,
,Warren Foegele,LW,,40.7,82.0,
,Barrett Hayton,C,,54.1,82.0,
,Jake Neighbours,LW,,27.8,82.0,
,Moritz Seider,D,,,82.0,
,Pius Suter,F,,42.7,81.0,
,Oliver Bjorkstrand,RW,,30.0,79.0,
,Oliver Bjorkstrand,RW,,28.6,61.0,
,Oliver Bjorkstrand,RW,,33.3,18.0,
,Leo Carlsson,C,,41.4,76.0,
,Thomas Chabot,D,,,80.0,
,Sean Couturier,C,,56.1,79.0,
,William Cuylle,LW,,33.3,82.0,
,Shayne Gostisbehere,D,,,70.0,
,Simon Holmström,RW,,20.0,75.0,
,Alexis Lafrenière,LW,,33.3,82.0,
,Artturi Lehkonen,LW,,43.8,69.0,
,Anton Lundell,C,,53.0,79.0,
,Elias Pettersson,C,,47.5,64.0,
,Will Smith,C,,36.5,74.0,
,Frank Vatrano,LW,,47.1,81.0,
,Cutter Gauthier,LW,,37.5,82.0,
,Luke Hughes,D,,0.0,71.0,
,Zach Hyman,LW,,40.0,73.0,
,Devon Toews,D,,,76.0,
,Shane Wright,C,,44.4,79.0,
,Kaapo Kakko,RW,,50.0,79.0,
,Kaapo Kakko,RW,,50.0,30.0,
,Kaapo Kakko,RW,,50.0,49.0,
,Matty Beniers,C,,47.7,82.0,
,Phillip Danault,C,,52.2,80.0,
,Tyson Foerster,RW,,0.0,81.0,
,Jackson LaCombe,D,,0.0,75.0,
,Owen Tippett,RW,,38.9,77.0,
,Alex Laferriere,RW,,37.1,77.0,
,Jean-Gabriel Pageau,C,,59.6,79.0,
,Taylor Hall,LW,,46.2,77.0,
,Taylor Hall,LW,,44.4,46.0,
,Taylor Hall,LW,,52.4,31.0,
,Bobby Brink,RW,,29.8,79.0,
,Brandon Montour,D,,,81.0,
,Stefan Noesen,RW,,48.2,78.0,
,Nick Paul,LW,,50.0,76.0,
,Morgan Rielly,D,,,82.0,
,Ryan Strome,C,,41.7,82.0,
,Fabian Zetterlund,W,,59.6,84.0,
,Fabian Zetterlund,W,,60.0,64.0,
,Fabian Zetterlund,W,,50.0,20.0,
,Evgenii Dadonov,RW,,,80.0,
,Matt Grzelcyk,D,,,82.0,
,Dougie Hamilton,D,,,64.0,
,Brett Howden,C,,52.7,80.0,
,Trevor Moore,LW,,8.3,71.0,
,Owen Power,D,,,79.0,
,Kiefer Sherwood,RW,,42.9,78.0,
,Cam Fowler,D,,,68.0,
,Cam Fowler,D,,,17.0,
,Cam Fowler,D,,,51.0,
,Casey Mittelstadt,C,,44.2,81.0,
,Casey Mittelstadt,C,,42.4,63.0,
,Casey Mittelstadt,C,,51.9,18.0,
,Jake Walman,D,,,65.0,
,Jake Walman,D,,,50.0,
,Jake Walman,D,,,15.0,
,Reilly Smith,RW,,36.4,79.0,
,Reilly Smith,RW,,33.3,58.0,
,Reilly Smith,RW,,37.5,21.0,
,Blake Coleman,C,,48.1,82.0,
,Noah Dobson,D,,,71.0,
,Vince Dunn,D,,,62.0,
,Noah Hanifin,D,,,80.0,
,Neal Pionk,D,,,69.0,
,Jack Quinn,RW,,14.3,74.0,
,Jack Roslovic,C,,54.1,81.0,
,Bowen Byram,D,,,82.0,
,Brendan Gallagher,RW,,0.0,82.0,
,Roman Josi,D,,,53.0,
,Vladislav Namestnikov,C,,46.1,78.0,
,Michael Bunting,LW,,38.5,76.0,
,Michael Bunting,LW,,45.5,58.0,
,Michael Bunting,LW,,0.0,18.0,
,Logan Stankoven,C,,45.1,78.0,
,Logan Stankoven,C,,46.4,59.0,
,Logan Stankoven,C,,20.0,19.0,
,André Burakovsky,LW,,50.0,79.0,
,Noah Cates,LW,,44.6,78.0,
,Jonathan Drouin,LW,,40.9,43.0,
,Frédérick Gaudreau,C,,48.2,82.0,
,Marco Kasper,C,,44.9,77.0,
,Alex Killorn,C,,38.1,82.0,
,Nino Niederreiter,RW,,43.5,82.0,
,Shane Pinto,C,,50.1,70.0,
,Darren Raddysh,D,,,73.0,
,Morgan Frost,C,,51.2,81.0,
,Morgan Frost,C,,51.8,49.0,
,Morgan Frost,C,,50.5,32.0,
,Andrei Kuzmenko,F,,100.0,66.0,
,Andrei Kuzmenko,F,,100.0,37.0,
,Andrei Kuzmenko,F,,,7.0,
,Andrei Kuzmenko,F,,,22.0,
,Zachary Bolduc,C,,35.7,72.0,
,Jake Evans,C,,52.9,82.0,
,Jordan Martinook,LW,,48.6,79.0,
,Dawson Mercer,C,,40.5,82.0,
,Colton Parayko,D,,,64.0,
,Jordan Staal,C,,54.5,75.0,
,James van Riemsdyk,LW,,30.0,71.0,
,Seth Jones,D,,,63.0,
,Seth Jones,D,,,42.0,
,Seth Jones,D,,,21.0,
,Nick Foligno,LW,,48.4,78.0,
,Eeli Tolvanen,RW,,45.5,81.0,
,Maxim Tsyplakov,F,,43.5,77.0,
,Alexander Wennberg,C,,47.5,77.0,
,Joshua Norris,C,,53.8,56.0,
,Joshua Norris,C,,53.8,53.0,
,Joshua Norris,C,,54.0,3.0,
,Charlie Coyle,C,,48.6,83.0,
,Charlie Coyle,C,,49.2,64.0,
,Charlie Coyle,C,,47.4,19.0,
,Jackson Blake,RW,,50.0,80.0,
,Ridly Greig,C,,54.7,78.0,
,Marcus Johansson,C,,25.0,72.0,
,Adam Lowry,LW,,51.8,73.0,
,Bobby McMann,F,,19.0,74.0,
,Ilya Mikheyev,F,,8.3,80.0,
,Valeri Nichushkin,RW,,50.0,43.0,
,Brandt Clarke,D,,,78.0,
,Max Domi,LW,,50.2,74.0,
,Christian Dvorak,C,,55.8,82.0,
,Aaron Ekblad,D,,,56.0,
,Mattias Ekholm,D,,,65.0,
,Filip Hronek,D,,100.0,61.0,
,Jesperi Kotkaniemi,C,,51.8,78.0,
,Patrik Laine,RW,,44.0,52.0,
,Mason Lohrei,D,,,77.0,
,Darnell Nurse,D,,,76.0,
,Alex Pietrangelo,D,,,71.0,
,Ivan Provorov,D,,,82.0,
,Cole Sillinger,C,,46.2,66.0,
,Brady Skjei,D,,,82.0,
